,time,nBits,value,in_count,out_count,count,value_min,value_max,in_min,in_max,out_min,out_max,Open,Close,Volume BTC,Volume USD
38,1577890800,4944278948960,1887725172264,23452,31379,12766,0,91781982537,1,222,1,965,7205.9,7211.09,12.58,90718.46
39,1577894400,3737063103440,1518138886567,18556,24918,9649,0,99414495422,1,232,1,201,7211.09,7231.18,4.128,29779.0
40,1577898000,5989215859840,3393403670439,29768,38237,15464,0,99567718716,1,250,1,573,7231.18,7229.28,3.295,23816.44
41,1577901600,4153798506000,2155226895559,23909,25450,10725,0,139349719677,1,312,1,316,7229.28,7227.58,8.116,58715.57
42,1577905200,4488038889280,2353679731745,20862,26933,11588,546,297658479640,1,556,1,160,7227.58,7218.13,2.6060000000000003,18808.14
43,1577908800,4004300489840,1694765670922,17703,26166,10339,0,87822368090,1,264,1,983,7218.13,7230.1,5.895,42590.79
44,1577912400,4845205532912,2406877851518,22070,28188,12511,0,87809511542,1,489,1,101,7230.1,7221.43,5.329,38502.76
45,1577916000,4256242943712,1759466242446,20584,24858,10992,0,98385287084,1,250,1,197,7221.43,7187.7,7.325,52747.8
46,1577919600,4897854530114,1908963768902,20801,28850,12649,0,106154442391,1,679,1,390,7187.7,7181.4,3.92,28105.97
47,1577923200,2545924067950,1233966085524,12302,22065,6575,0,85550833916,1,271,1,6759,7181.4,7191.06,1.608,11548.81
48,1577926800,5390001981120,2059659438303,26503,38811,13920,0,109019796066,1,300,1,1933,7191.06,7168.09,2.9739999999999998,21316.96
49,1577930400,3573586801994,2769651450372,18043,30650,9229,0,96674020565,1,240,1,951,7168.09,7144.22,14.24,101690.23
50,1577934000,4373955630656,1820751896976,25045,32163,11296,0,95706975745,1,500,1,384,7144.22,7109.18,9.316,66394.25
51,1577937600,4835126058782,2719872227576,23857,30499,12487,546,187141815770,1,240,1,335,7109.18,7123.46,3.37,23977.67
52,1577941200,4167571215718,2112721071307,17062,27805,10763,546,91948654797,1,142,1,1708,7123.46,7105.63,11.48,81660.5
53,1577944800,4608993791758,1657173156789,24965,30221,11903,0,91975723487,1,362,1,600,7105.63,7105.0,5.03,35815.36
54,1577948400,5078295688390,2298008884526,28476,32183,13115,540,95018974317,1,660,1,368,7105.0,7084.95,4.276,30312.09
55,1577952000,5019439344918,2442204569743,26680,32468,12963,0,137856458864,1,481,1,414,7084.95,7125.72,3.287,23358.93
56,1577959200,7924696878276,5368084453419,49498,51528,20466,540,366292244281,1,652,1,1153,7138.03,7139.11,2.807,20050.94
57,1577962800,5661050931320,2319173202032,34780,35729,14620,540,94382957187,1,990,1,144,7139.11,7121.0,1.258,8969.0
58,1577966400,5090686497542,2835698067975,26007,31497,13147,546,124787414851,1,390,1,245,7121.0,7132.51,18.41,131269.42
59,1577970000,3728471916394,3491953102652,28011,22964,9629,546,250000000000,1,601,1,290,7132.51,7113.93,8.509,60427.7
60,1577973600,5725328253796,5035948744293,39457,35850,14786,540,250266097311,1,779,1,339,7113.93,7120.53,6.513999999999999,46378.47
61,1577977200,2030931062570,1362505787800,12517,13773,5245,546,128460799416,1,239,1,397,7120.53,7111.9,9.727,69127.02
62,1577980800,9327181589168,6471768172287,58139,59950,24088,546,103604712942,1,828,1,569,7111.9,7025.74,37.12,262169.23
63,1577984400,6866057121352,4608540195643,38526,42883,17732,546,97288760272,1,466,1,167,7025.74,6950.7,40.96,284762.86
64,1577988000,4231461325408,3994851952929,23086,27534,10928,546,924314385439,1,272,1,386,6950.7,6961.66,15.37,106813.6
65,1577991600,4350722863496,3126857778795,27277,27677,11236,546,136567140553,1,317,1,190,6961.66,6963.1,26.64,185540.81
66,1577995200,3737377810472,1785512840732,18837,22680,9652,546,93255383858,1,494,1,209,6963.1,6936.82,9.288,64505.42
67,1577998800,5424463919074,2983319868333,29791,34938,14009,546,137591526016,1,642,1,922,6936.82,6958.54,8.644,60071.73
68,1578002400,7315611165898,5246418748265,41111,42963,18893,540,329999997347,1,532,1,101,6958.54,6958.83,8.202,57064.16
69,1578006000,3440385603610,1797691987247,19985,20619,8885,546,96763824732,1,278,1,168,6958.83,6940.13,15.16,105300.08
70,1578009600,5678475506690,3219599002706,30786,33683,14665,546,117103465000,1,599,1,106,6940.13,6914.65,8.043,55731.61
71,1578013200,4862230953802,2522718769327,20321,36964,12557,546,104765520503,1,240,1,1897,6914.65,6873.47,16.56,114117.4
72,1578016800,3860511476420,2392579359920,20614,39042,9970,540,114439661241,1,577,1,6589,6873.47,6947.34,18.78,129701.73
73,1578020400,3806688899166,2060422529638,19950,23771,9831,546,97609125886,1,240,1,201,6947.34,6936.15,13.67,94806.72
74,1578024000,2650858732956,1211112588108,14359,18070,6846,540,97895674651,1,691,1,948,6936.15,7204.62,86.71,621704.86
75,1578027600,5659114867390,4127453633804,31259,36405,14615,0,353292179681,1,810,1,1755,7204.62,7205.48,30.42,218535.86
76,1578031200,3985581206298,1907204072550,22040,25111,10293,539,105850911955,1,500,1,461,7205.48,7188.86,11.31,81313.65
77,1578034800,3897683903876,2725834042461,20251,24046,10066,0,511539816006,1,250,1,173,7188.86,7185.18,7.185,51701.31
78,1578038400,6259681898476,4462520528892,36001,38197,16166,0,435358280246,1,688,1,133,7185.18,7247.74,13.83,100185.97
79,1578042000,4490506679242,19181204595702,32504,27788,11597,546,5456513074855,1,926,1,164,7247.74,7342.0,25.54,186360.32
80,1578045600,4624869515984,8553469406190,27276,28529,11944,0,5416241332655,1,671,1,161,7342.0,7299.41,37.4,274213.12
81,1578049200,5750884297672,3521496247397,34816,36672,14852,0,125089757212,1,546,1,420,7299.41,7325.85,7.695,56277.28
82,1578052800,5433757025938,2662718518246,28753,35244,14033,0,82069519372,1,328,1,1702,7325.85,7310.0,9.152999999999999,67055.49
83,1578056400,4943545638862,4009253036485,28004,30104,12767,540,126026819767,1,376,1,354,7310.0,7346.67,12.5,91557.18
84,1578060000,7032945832118,5108827858617,49960,42506,18163,540,121904117166,1,1002,1,143,7346.67,7257.44,30.19,219912.2
85,1578063600,4606283302256,2637441934237,31754,28621,11896,546,111404113294,1,538,1,408,7257.44,7304.16,15.73,114368.58
86,1578067200,4201645940886,3884582148275,25753,28596,10851,546,58732348808,1,494,1,412,7304.16,7385.56,22.22,163210.35
87,1578070800,8148893081370,6865004025518,50473,50619,21045,540,1103803004615,1,790,1,592,7385.56,7356.43,30.13,221864.58
88,1578074400,4188093493376,2739962941536,27467,25318,10816,0,299999944841,1,612,1,301,7356.43,7340.0,8.981,66028.39
89,1578078000,7310190186894,5813968390160,42272,46346,18879,546,73222205101,1,631,1,241,7340.0,7336.27,21.81,159685.33
90,1578081600,4711217967262,3352611368048,23882,28002,12167,546,108959766549,1,250,1,231,7336.27,7322.41,13.88,101648.84
91,1578085200,4770461523520,3267778005782,22282,29155,12320,0,216265619084,1,412,1,88,7322.41,7266.75,15.84,115789.12
92,1578088800,6570226552848,3363120395567,35130,39217,16968,0,124504444572,1,742,1,442,7266.75,7299.43,14.84,108001.94
93,1578092400,5115080903060,2291992658853,21979,30629,13210,0,149999996662,1,240,1,120,7299.43,7335.22,11.95,87439.81
94,1578096000,3302925064580,1629411738056,15888,20482,8530,546,38811502157,1,580,1,167,7335.22,7307.13,8.101,59253.42
95,1578099600,4835513271568,2408089462891,23417,41341,12488,0,98231385022,1,500,1,6620,7307.13,7311.21,9.668,70553.32
96,1578103200,2151741451802,890869964271,10645,14425,5557,0,123376364582,1,330,1,959,7311.21,7308.63,8.298,60605.09
97,1578106800,5541789393232,4668397899120,27689,43914,14312,0,335565844362,1,282,1,501,7308.63,7324.23,2.57,18814.59
98,1578110400,3753640747484,1343433250898,18179,24109,9694,0,118515824200,1,312,1,753,7324.23,7334.6,6.565,48077.61
99,1578114000,4066895891358,2096086197230,17438,27012,10503,0,118102784836,1,231,1,1741,7334.6,7338.11,6.876,50498.98
100,1578117600,4679466518810,1888778023579,22115,29438,12085,0,107568730446,1,240,1,504,7338.11,7348.37,5.987,43976.59
101,1578121200,3179404185846,1971674609169,17584,19954,8211,546,129334973311,1,250,1,379,7348.37,7345.06,8.635,63445.34
102,1578124800,4855648336440,1383503065287,29299,30427,12540,0,48095433246,1,616,1,170,7345.06,7343.99,1.16,8518.59
103,1578128400,4174541045866,2730967954466,20831,25912,10781,0,1063803002211,1,240,1,158,7343.99,7344.22,11.05,81134.59
104,1578132000,5548759223380,2639138495801,28724,37636,14330,455,120135446201,1,270,1,1397,7344.22,7305.0,8.076,59128.38
105,1578135600,4735999585566,2390935738195,25260,29813,12231,455,117996188564,1,535,1,371,7305.0,7322.05,1.798,13145.39
106,1578139200,4075801785436,1853833329632,19847,24929,10526,0,113597427993,1,187,1,72,7322.05,7292.32,6.474,47363.51
107,1578142800,1788535858534,1396442499263,14260,11869,4619,546,120043791516,1,108,1,101,7292.32,7293.95,10.86,79323.96
108,1578146400,7000032745308,4368942787905,48035,41568,18078,546,112611500805,1,677,1,62,7293.95,7305.7,8.237,60131.37
109,1578150000,4324005181262,2910892596048,32942,28575,11167,0,186269586462,1,562,1,516,7305.7,7301.34,10.0,73096.0
110,1578153600,7627704671414,4402925987586,42133,47644,19699,0,158964544842,1,915,1,201,7301.34,7304.39,9.511000000000001,69459.69
111,1578157200,3359070918550,2807486723359,18424,21031,8675,546,107090055665,1,625,1,71,7304.39,7341.75,16.02,117233.56
112,1578160800,6191145235354,6786588759051,33078,38171,15989,0,779320677189,1,474,1,198,7341.75,7296.71,31.83,233542.46
113,1578164400,5986309671560,4169503043798,28883,36404,15460,546,295567464818,1,704,1,183,7296.71,7328.82,8.367,61186.42
114,1578168000,4755747437652,2933363578732,24991,28243,12282,0,290566469379,1,384,1,132,7328.82,7335.44,9.259,67872.76
115,1578171600,6376620159848,3794872043861,28296,38540,16468,0,98702011444,1,452,1,383,7335.44,7341.93,9.312000000000001,68429.25
116,1578175200,5011695089198,2879088822738,23149,29660,12943,817,97879604418,1,663,1,80,7341.93,7351.31,5.245,38560.72
117,1578178800,3890326860942,1616776840993,16198,26089,10047,0,95902326165,1,386,1,588,7351.31,7348.0,7.877000000000001,57854.18
118,1578182400,4908309275336,2068875306502,21431,40740,12676,539,96009886508,1,842,1,6446,7348.0,7380.51,2.8560000000000003,21058.3
119,1578186000,3630507081536,1411759870756,16238,22005,9376,546,94107832343,1,240,1,201,7380.51,7455.94,41.44,307668.83
120,1578189600,4137368618410,2663684891291,19552,30263,10685,0,380792009661,1,240,1,952,7455.94,7440.0,6.882000000000001,51272.05
121,1578193200,1861331862302,1730742702629,12649,17179,4807,546,91381744505,1,240,1,1919,7440.0,7472.95,6.771,50459.56
122,1578196800,3572425163636,2531673303549,22458,29449,9226,546,89851390185,1,528,1,157,7472.95,7447.93,23.71,176853.26
123,1578200400,4490119466456,2840632679376,21636,28809,11596,0,137288796683,1,250,1,101,7447.93,7455.67,3.502,26104.06
124,1578204000,4713154031192,1594904802134,24990,33593,12172,0,78058563688,1,518,1,1722,7455.67,7455.0,17.88,133446.81
125,1578207600,3196441548430,820093123891,15042,20172,8255,540,35383631080,1,240,1,318,7455.0,7466.02,3.045,22708.25
126,1578211200,5002014769548,2010116057246,29370,31461,12918,0,83355403519,1,453,1,101,7466.02,7433.92,5.392,40167.5
127,1578214800,4398350036174,1591547089616,21566,28143,11359,0,94741461109,1,240,1,184,7433.92,7417.24,5.01,37192.29
128,1578218400,4358854332002,1470849272967,21185,29010,11257,0,83071719250,1,128,1,1363,7417.24,7408.18,19.89,147351.32
129,1578222000,4497863722176,1666510751749,24621,29189,11616,0,83669944816,1,381,1,521,7408.18,7425.0,3.9930000000000003,29610.09
130,1578225600,3185986803208,1264611865582,17293,20231,8228,546,82842608167,1,240,1,52,7425.0,7442.07,2.8480000000000003,21159.08
131,1578229200,5798511470350,2635856828097,34628,34307,14975,546,372791945061,1,500,1,162,7442.07,7429.79,1.571,11692.53
132,1578232800,5383806576544,1561046263106,30795,35333,13904,0,81932388620,1,1100,1,201,7429.79,7436.87,1.77,13157.43
133,1578236400,7184346031444,2999170349293,34969,44302,18554,540,91464681058,1,500,1,59,7436.87,7469.6,6.895,51416.46
134,1578240000,5370254129034,2484938495620,28589,33708,13869,0,294453648998,1,402,1,220,7469.6,7458.57,5.182,38658.31
135,1578243600,4976458725672,3393573171301,24113,30907,12852,546,291202007871,1,831,1,364,7458.57,7462.14,2.86,21326.13
136,1578247200,6366939840198,4580679535212,31967,38933,16443,546,290248793718,1,641,1,150,7462.14,7443.53,12.97,96609.09
137,1578250800,4447913272782,2411140385822,23257,26935,11487,0,78533186080,1,334,1,353,7443.53,7447.87,3.554,26452.09
138,1578254400,4884689295390,1425009298665,22275,30388,12615,0,78253977495,1,200,1,212,7447.87,7431.04,8.277999999999999,61491.77
139,1578258000,4414612973186,6403703502570,25983,26349,11401,546,364791790261,1,709,1,79,7431.04,7371.29,17.24,127553.62
140,1578261600,6478457122566,3483162775469,32079,42603,16731,0,288677801652,1,375,1,982,7371.29,7343.1,9.549,70247.06
141,1578265200,4172992194722,1485371864592,17318,25136,10777,546,75175154364,1,211,1,96,7343.1,7358.86,8.63,63402.2
142,1578268800,3871740647214,1988263101491,19051,24224,9999,546,111983999672,1,250,1,161,7358.86,7372.99,5.502999999999999,40468.82
143,1578272400,3559647141698,2889281617267,17044,22856,9193,0,354791743821,1,911,1,404,7372.99,7418.68,5.24,38711.15
144,1578276000,3098089500786,2387867304416,15044,36709,8001,0,161026534434,1,267,1,6467,7418.68,7541.93,52.4,393674.18
145,1578279600,3741249938332,3627698017761,22056,29605,9662,546,344791678181,1,240,1,1937,7541.93,7543.25,34.85,263071.42
146,1578283200,5573153628898,3043878505956,32808,39422,14393,0,329791612541,1,351,1,1717,7543.25,7523.12,8.576,64551.09
147,1578286800,3526346842102,2434481104119,19543,23601,9107,0,314791560741,1,996,1,1761,7523.12,7526.2,4.385,32972.95
148,1578290400,2954433557180,3521362025425,19282,19950,7630,540,308791521741,1,976,1,391,7526.2,7505.48,4.773,35909.35
149,1578294000,2976891898768,3396103894911,17667,18485,7688,546,304791418741,1,515,1,344,7505.48,7500.0,0.9906,7439.0
150,1578297600,6491622357290,5329132330464,43182,40941,16765,546,278544638140,1,677,1,531,7500.0,7539.12,0.9921,7460.35
151,1578301200,6143518062676,3000700721926,45431,42132,15866,0,102478860862,1,875,1,552,7539.12,7538.37,58.84,442927.85
152,1578304800,3926337650040,2217522893155,22693,26030,10140,0,131867444460,1,805,1,1613,7538.37,7557.98,11.87,89550.59
153,1578308400,4278701285300,3986386197935,32448,26818,11050,540,753803000873,1,327,1,65,7557.98,7534.83,4.9239999999999995,37144.19
154,1578312000,4936963021500,6857211677302,31315,31974,12750,540,283747056664,1,655,1,599,7534.83,7555.4,8.355,62969.83
155,1578315600,1823385009274,5379944232851,11195,12410,4709,546,277037130823,1,248,1,81,7555.4,7501.39,26.04,196577.96
156,1578319200,7108452325388,9187247704874,44384,43474,18358,546,274672789834,1,554,1,476,7501.39,7543.35,5.392,40643.02
157,1578322800,5084491092966,4485924722167,33128,30741,13131,546,274018379273,1,627,1,144,7543.35,7522.94,55.08,415282.26
158,1578326400,6924526252038,5931152439067,44162,44549,17883,546,273916809136,1,931,1,597,7522.94,7524.63,15.92,119847.62
159,1578330000,4773559225808,6140550141788,24327,29345,12328,546,270498854781,1,396,1,83,7524.63,7553.21,15.28,115190.85
160,1578333600,6501302676940,6118499878708,37101,41431,16790,546,268774373442,1,1096,1,94,7553.21,7535.0,5.336,40244.49
161,1578337200,7164598179358,4684696237548,41432,46521,18503,546,267636237571,1,599,1,197,7535.0,7533.92,4.082,30787.04
162,1578340800,3218512677232,4747775254115,17961,20503,8312,546,267510547856,1,434,1,145,7533.92,7544.1,13.26,99982.4
163,1578344400,6488137442216,6518518675380,37344,40694,16756,0,624314375433,1,642,1,88,7544.1,7593.43,34.87,264220.78
164,1578348000,1957360633230,4949958276612,11929,12858,5055,546,624313040927,1,360,1,382,7593.43,7721.56,59.64,457715.7
165,1578351600,9710135034522,6939974654304,69551,59913,25077,546,265207419280,1,769,1,229,7721.56,7771.68,43.49,337811.4
166,1578355200,5628912270082,2485746952418,32540,34182,14537,0,122503566601,1,404,1,437,7771.68,7890.19,83.09,657068.8
167,1578358800,5803545236568,2640761397715,28968,42476,14988,0,47635517886,1,300,1,6397,7890.19,7907.22,30.95,244362.0
168,1578362400,4909470913694,4159112763358,32217,46707,12679,0,238744115357,1,757,1,1888,7907.22,7908.06,21.56,171058.43
169,1578366000,4363500885434,2817658876239,29716,31014,11269,540,160330644400,1,968,1,501,7908.06,7910.23,3.467,27419.96
170,1578369600,4059538848424,1711090095943,21817,25206,10484,0,33370400971,1,809,1,97,7910.23,7838.87,26.0,204532.54
171,1578373200,5274612570892,3082333579968,28272,34346,13622,0,90000000000,1,457,1,493,7838.87,7875.0,16.92,132927.79
172,1578376800,4453721464572,2299508902426,24677,30567,11502,0,114342797197,1,500,1,1716,7875.0,7868.09,10.69,84125.01
173,1578380400,3237486103746,1243748795591,17603,20074,8361,0,48184975342,1,456,1,169,7868.09,7878.2,10.61,83650.74
174,1578384000,6049038142892,4751810818989,34120,40883,15622,546,861441847901,1,703,1,201,7878.2,7879.12,23.1,182325.4
175,1578387600,5631235546798,3857571379060,35260,39531,14543,345,198221940114,1,563,1,1849,7879.12,7865.24,59.42,467094.7
176,1578391200,4181510876014,2306280176426,26570,28842,10799,540,185438540391,1,664,1,345,7865.24,7880.0,2.2319999999999998,17579.22
177,1578394800,7344652124848,3392371450644,43587,47671,18968,540,187925247395,1,884,1,452,7880.0,7901.99,27.34,216492.08
178,1578398400,4539295490278,2528378292599,26752,28789,11723,546,41999820003,1,795,1,77,7901.99,7868.77,15.21,119685.71
179,1578402000,2788706484772,2786945277984,14871,18887,7202,546,181737459267,1,601,1,112,7868.77,7847.77,27.51,215362.32
180,1578405600,7567299476798,5287384057383,47596,45147,19543,300,166604256192,1,1002,1,76,7847.77,7852.0,13.25,104261.03
181,1578409200,4467273912082,3075804546497,25090,29185,11537,546,34109139044,1,228,1,301,7852.0,7775.54,36.1,281378.95
182,1578412800,8654592979886,5042424893517,47408,54950,22351,540,562468160547,1,782,1,168,7775.54,7949.49,42.29,333350.66
183,1578416400,7462364811792,2805902962197,41703,49962,19272,0,76352065006,1,200,1,573,7949.49,7955.65,34.92,276981.39
184,1578420000,7384922254592,5024354355653,49714,45456,19072,546,271720740435,1,617,1,188,7955.65,8052.58,135.38,1091732.69
185,1578423600,3745896491764,2306164708756,20075,24300,9674,546,111424730275,1,425,1,318,8052.58,8075.0,31.01,250763.96
186,1578427200,3503114074942,4435405213625,19067,23176,9047,2730,261705012135,1,464,1,360,8075.0,8171.85,38.36,311168.83
187,1578430800,11158310854162,5988026939556,60179,65451,28817,0,418529270254,1,858,1,226,8171.85,8029.92,59.58,483129.69
188,1578434400,4670173411946,2344640664420,26059,30393,12061,747,65481580767,1,1079,1,980,8029.92,8033.81,35.27,282731.11
189,1578438000,6352612967116,2311633400409,29360,36452,16406,546,57596056062,1,500,1,100,8033.81,8165.53,31.11,252854.72
190,1578441600,4821186398486,2665050441668,23304,28723,12451,540,76035732306,1,365,1,199,8165.53,8460.0,126.97,1062509.76
191,1578445200,5182843140610,3198584294365,26300,37222,13385,540,350791395633,1,299,1,6720,8460.0,8377.61,97.65,823357.95
192,1578448800,2079332660820,4111445581265,13017,15149,5370,546,261596614008,1,97,1,501,8377.61,8277.0,22.8,190421.41
193,1578452400,6748731647194,7208233746198,44403,55764,17429,540,260314517670,1,500,1,1885,8277.0,8323.11,21.81,181056.22
194,1578456000,3221997592306,2619609663214,16839,19192,8321,540,400564440430,1,382,1,106,8323.11,8346.05,8.54,71086.8
195,1578459600,5940618562812,3603683870044,31069,37845,15342,540,256396474075,1,457,1,1751,8346.05,8345.0,14.22,118718.67
196,1578463200,4032046740618,1943334354245,21690,23736,10413,540,98342795026,1,668,1,230,8345.0,8339.76,19.12,159548.73
197,1578466800,5532109073582,2260581539134,29247,33194,14287,0,199999993409,1,325,1,114,8339.76,8301.88,32.39,269067.14
198,1578470400,5274225358106,2523824729550,29135,32536,13621,541,101257939058,1,689,1,543,8301.88,8318.0,8.693,72085.85
199,1578474000,4610929855688,2542741804492,27958,30693,11908,540,79999990000,1,915,1,1858,8318.0,8301.69,16.93,140698.84
200,1578477600,1034245351406,935133984109,5283,7485,2671,546,77716598682,1,229,1,251,8301.69,8339.84,6.412000000000001,53433.1
201,1578481200,5899186794710,3614635998305,38577,36525,15235,546,58737902465,1,1048,1,88,8339.84,8348.2,10.32,86165.94
202,1578484800,8710351621070,5273538149001,52760,51648,22495,540,255318094847,1,525,1,97,8348.2,8285.0,13.55,112660.11
203,1578488400,1101620376170,1009170557425,5670,7119,2845,546,69934925786,1,84,1,86,8285.0,8380.79,30.85,255910.2
204,1578492000,5399682300770,4258374284192,27146,35097,13945,546,139999981883,1,336,1,436,8380.79,8299.16,24.0,198739.48
205,1578495600,7390730446382,4821491466671,42872,43848,19087,546,150899933056,1,1000,1,197,8299.16,8302.09,22.43,185954.73
206,1578499200,6518340039524,4661449376306,33805,42874,16834,546,254163748919,1,273,1,398,8302.09,8108.82,102.3,835802.38
207,1578502800,3550354034834,4617574303618,17694,23309,9169,546,250605773758,1,186,1,201,8108.82,8089.73,57.62,464638.68
208,1578506400,4626418367128,6805053740320,25050,28971,11948,0,250040546667,1,879,1,214,8089.73,8042.57,25.29,203925.66
209,1578510000,5612649333070,4154205497014,30364,31857,14495,540,248810818444,1,500,1,101,8042.57,7963.27,78.94,629990.71
210,1578513600,7416673703044,6148302013590,42464,41476,19154,0,297645717811,1,500,1,242,7963.27,8060.21,63.78,507198.53
211,1578517200,8478798375042,5304542666675,48625,48866,21897,0,661441845717,1,616,1,252,8060.21,7997.16,23.12,184922.07
212,1578520800,2313209183564,1106230232906,16761,14556,5974,546,90483474970,1,299,1,561,7997.16,8062.0,32.23,258460.77
213,1578524400,7644742033998,4732892166694,43139,44894,19743,0,231796317849,1,617,1,173,8062.0,8053.42,18.55,149673.43
214,1578528000,5226210972642,2418872618256,37988,30472,13497,0,232368215713,1,499,1,868,8053.42,7953.37,33.86,269869.01
215,1578531600,6090857123780,3200884460421,39961,43105,15730,0,360791292627,1,753,1,1897,7953.37,7990.18,46.69,372683.92
216,1578535200,4418485101046,2863774332496,21510,36284,11411,540,214105502377,1,622,1,949,7990.18,7987.78,9.782,78214.32
217,1578538800,4778205779240,2908303267683,26587,32092,12340,540,254022951570,1,641,1,612,7987.78,7953.3,39.74,316251.0
218,1578542400,4063410976284,1875529113639,22160,30750,10494,0,88044307758,1,240,1,6648,7953.3,7964.23,27.73,220459.91
219,1578546000,3542609779114,1942437078186,16708,21667,9149,546,345791202427,1,130,1,522,7964.23,7947.18,10.76,85594.88
220,1578549600,5340438744512,3001056301460,32259,33674,13792,0,333791150627,1,1073,1,584,7947.18,7913.97,8.798,69690.09
